,Episode,Description,Duration,Year,Series
74,Ep 104 - The Prince,"After Monet's agreed to do business with him, Tariq initiates his play to control the drug market on campus, while insulating his and Monet's involvement.",62 MINS,2020,Power Book II: Ghost
75,Ep 105 - The Gift of the Magi,"It's Tariq's 18th birthday, but there's no cause for celebration, or time. Saxe brings him news that could blow up Tasha's case. Tariq is concerned that Brayden's budding relationship could ...",61 MINS,2020,Power Book II: Ghost
76,Ep 106 - Good vs Evil,"Tariq's hands are tied, fearing that fully letting Brayden in on their arrangement with the Tejadas has put him on a violent collision course with Cane, who demonstrates the price paid for u...",62 MINS,2020,Power Book II: Ghost
77,Ep 107 - Sex Week,"As the heat is turned up on campus, Tariq isn't trying to be left in the cold with Lauren. Or is it Diana he's in to?",62 MINS,2020,Power Book II: Ghost
78,Ep 108 - Family First,"Tariq can't help but feel left out, as parents flood the campus for Homecoming at Stansfield.",62 MINS,2020,Power Book II: Ghost
79,Ep 109 - Monster,"After the head-on collision of Tariq's worlds at Homecoming, the campus is hot, causing problems as he tries to settle up on debts.",63 MINS,2020,Power Book II: Ghost
80,Ep 110 - Heart of Darkness,"Tariq will do whatever it takes to clear his mother. But knowing he's not in the clear with Monet, Tariq's backed against the wall trying to keep his promise to get Tasha out of prison.",68 MINS,2021,Power Book II: Ghost
81,Ep 201 - Free Will is Never Free,Tariq tries to resume his normal college life. Brayden provides Tariq an escape. Monet makes plans for the business to protect her children. Cane seeks out a new family to take the streets f...,63 MINS,2021,Power Book II: Ghost
82,Ep 202 - Selfless Acts?,"Tariq will need to let go of the past to save what's left of his family. Diana helps Monet repair the business, but sees Monet is distracted. Cane takes a lesson from a new ally to get what he wants.",59 MINS,2021,Power Book II: Ghost
83,Ep 203 - The Greater Good,"Tariq tries to keep CourseCorrect from going under. While Diana's wary of Cane's motives and Zeke's future is put at risk, everyone is wondering, where is Monet?",59 MINS,2021,Power Book II: Ghost
84,Ep 204 - Gettin' These Ends,Davis questions Tariq's client referrals. Cane finds Brayden eager to prove himself and gives him the chance to make some real money. Zeke needs everyone's help to assure his professional ba...,58 MINS,2021,Power Book II: Ghost
85,Ep 205 - Coming Home to Roost,"Tariq races against the clock for Yasmine. With pressure being placed on Monet from her family and from Mecca, she struggles to wear the Tejada crown, and questions whether she has to anymore.",60 MINS,2021,Power Book II: Ghost
86,Ep 206 - What's Free?,Tariq reflects on where he is in his life and who he can trust. Brayden must decide whether to protect his family or help save Tariq's. Monet's faced with a new world order within her own family.,59 MINS,2022,Power Book II: Ghost
87,Ep 207 - Forced My Hand,"Tariq, finds himself on a quest for normalcy, which is not in arm's reach as he returns to school and attempts to find evidence of his innocence. Helping Tariq, as always, are Davis and Saxe.",60 MINS,2022,Power Book II: Ghost
88,Ep 208 - Drug Related,Davis advises Tariq on the best way to protect himself against Jenny and Saxe questions what lines Davis crossed in doing so. Carrie realizes her own actions have put her students in harm's way.,57 MINS,2022,Power Book II: Ghost
89,Ep 209 - A Fair Fight?,Tariq's fate lies in the hands of Tate. Monet's choices feel out of her control. She must rely on Mecca to help salvage the pieces of her family. Mecca plays his hand to put Monet right wher...,59 MINS,2022,Power Book II: Ghost
90,Ep 210 - Love and War,"Tariq refuses to give up on his loved ones. Tariq must help Monet save her own family. Monet, finally seeing the whole board, must move quickly to protect her family from Mecca.",74 MINS,2022,Power Book II: Ghost
