,Episode,Description,Duration,Year,Series
717,Ep 125 - Vasquez,Hardie is sent to jail in order to catch a criminal.,26 MINS,1960,Tales of Wells Fargo
718,Ep 126 - Kid Brother,Hardie's troubled kid brother wants to leave the farm and get a job with Wells Fargo.,26 MINS,1960,Tales of Wells Fargo
719,Ep 127 - Man For The Job,Hardie interviews applicants for a guard position with Wells Fargo.,26 MINS,1960,Tales of Wells Fargo
720,Ep 128 - Day Of Judgment,"As Hardie trails a killer, another man trails Hardie.",26 MINS,1960,Tales of Wells Fargo
721,Ep 129 - Angry Town,"Jim Hardie is searching for a thief named The Utah Kid. When he discovered that he'd already been hanged in a small town, he begins to suspect that the someone in the posse grabbed the Kid's...",26 MINS,1960,Tales of Wells Fargo
722,Ep 130 - Doc Dawson,Hardie suspects that a paroled man--who is working as an eccentric frontier dentist--may have something to do with a murdered stage driver. Guest starring Edgar Buchanan ('Petticoat Junction').,25 MINS,1960,Tales of Wells Fargo
723,Ep 131 - Kinfolk,Hardie is tracking a suspect wanted for robbery and murder--but a town sheriff's ties to the outlaw's family might make it difficult to bring him to justice. Story by Louis L'Amour.,26 MINS,1960,Tales of Wells Fargo
724,Ep 132 - A Study In Petticoats,"A lovestruck young woman is infatuated with Hardie, causing him complications during a seemingly simple Wells Fargo job.",26 MINS,1960,Tales of Wells Fargo
725,Ep 133 - All That Glitters,"Hardie probes the town after the stagecoach arrives in Denver and is missing $50,000 in gold.",26 MINS,1960,Tales of Wells Fargo
726,Ep 134 - Run For The River,"Hardie is transporting a prisoner to stand trial in Santa Fe. But when they stop in a small town along the way, he discovers that there's a price on the man's head--and the mayor and sheriff...",26 MINS,1960,Tales of Wells Fargo
727,Ep 135 - Leading Citizen,Hardie finds a stolen stagecoach in a town near the Mexico border--miles from any Wells Fargo station. He soon discovers most of the citizens of the town are not exactly on the level.,26 MINS,1960,Tales of Wells Fargo
728,Ep 136 - The Killing Of Johnny Lash,Hardie investigates the murder of a saloon owner.,26 MINS,1960,Tales of Wells Fargo
729,Ep 137 - The Wade Place,A vengeful woman informs Hardie of a plot to rob a Wells Fargo station. Story by Louis L'Amour.,26 MINS,1960,Tales of Wells Fargo
730,Ep 138 - Jeff Davis' Treasure,Hardie and an old friend track down a suspect who might know the location of Jefferson Davis' buried treasure.,26 MINS,1960,Tales of Wells Fargo
731,Ep 139 - The Bride And The Bandit,"A lone gunman has been robbing stagecoaches across the West, and it's up to Hardie to stop him. Story by Louis L'Amour.",26 MINS,1960,Tales of Wells Fargo
732,Ep 140 - Escort To Santa Fe,"Hardie is in a meeting with outlaw Kyle Gentry, who is disguised as an Army Major.",26 MINS,1960,Tales of Wells Fargo
733,Ep 141 - Frightened Witness,Hardie is puzzled when a prisoner is not concerned with his upcoming murder trial.,26 MINS,1960,Tales of Wells Fargo
734,Ep 142 - The Border Renegade,Hardie tries to apprehend a ring of gunrunners.,26 MINS,1961,Tales of Wells Fargo
735,Ep 143 - Captain Scoville,Army Captain Scoville is wanted for a string of crimes.,26 MINS,1961,Tales of Wells Fargo
736,Ep 144 - The Has-Been,A has-been actor visits a ghost town where he was last seen with his late wife.,26 MINS,1961,Tales of Wells Fargo
737,Ep 145 - Town Against A Man,An entire town resists Hardie's investigation of a friend's drowning.,26 MINS,1961,Tales of Wells Fargo
738,Ep 146 - The Barefoot Bandit,A Wells Fargo employee has been killed and Hardie investigates a potential suspect.,25 MINS,1961,Tales of Wells Fargo
739,Ep 147 - The Hand That Shook The Hand,A troubled drunk turns out to be the famed boxer John L. Sullivan.,26 MINS,1961,Tales of Wells Fargo
740,Ep 148 - That Washburn Girl,Jack Nicholson stars as the fiancé of an outlaw's daughter.,26 MINS,1961,Tales of Wells Fargo
741,Ep 149 - The Diamond Dude,Turmoil is caused when Hardie is sent to guard a diamond salesman carrying a small fortune in gems.,25 MINS,1961,Tales of Wells Fargo
742,Ep 150 - A Show For Silver Lode,Pearl Harvey entertains miners and she then refuses to leave when her heavily insured dog disappears.,26 MINS,1961,Tales of Wells Fargo
743,Ep 151 - Fraud,"A fellow agent has allegedly committed suicide, Hardie thinks it was murder.",26 MINS,1961,Tales of Wells Fargo
744,Ep 152 - Stage From Yuma,A criminal conspires to rob the stage from Yuma.,26 MINS,1961,Tales of Wells Fargo
745,Ep 153 - Prince Jim,Hardie helps a girl whose doll was snatched by stagecoach thieves.,26 MINS,1961,Tales of Wells Fargo
746,Ep 154 - The Remittance Man,Hardie tracks down a fugitive's loot from his latest robbery.,26 MINS,1961,Tales of Wells Fargo
747,Ep 155 - The Jealous Man,Kitty Thorpe wants Hardie's protection from her escaped convict husband.,26 MINS,1961,Tales of Wells Fargo
748,Ep 156 - Something Pretty,A diamond bracelet found by a dog helps Hardie stop a jewel thief.,26 MINS,1961,Tales of Wells Fargo
749,Ep 157 - Lady Trouble,A female mine owner investigates Wells Fargo before signing a contract with them.,26 MINS,1961,Tales of Wells Fargo
750,Ep 158 - Moment of Glory,A rival stagecoach company holds Wells Fargo passengers at gunpoint which forces them to transfer to his line.,26 MINS,1961,Tales of Wells Fargo
751,Ep 159 - The Lobo,A fellow agent proposes a hefty reward to Hardie for outlaw Sam Horne.,26 MINS,1961,Tales of Wells Fargo
752,Ep 160 - Rifles For Red Hand,Hardie believes a lady gambler is selling guns to insurgent Indians.,26 MINS,1961,Tales of Wells Fargo
753,Ep 161 - Gunman's Revenge,"Once released, a prisoner wants revenge on the person who sent him there.",26 MINS,1961,Tales of Wells Fargo
754,Ep 162 - The Repentant Outlaw,Hardie is stranded in Mesa City without a sheriff and a tempting Army payroll.,26 MINS,1961,Tales of Wells Fargo
755,Ep 163 - A Quiet Little Town,"After Marshal Dave Prescott cleans up the town of Warburg, Hardie investigates his death.",26 MINS,1961,Tales of Wells Fargo
756,Ep 164 - Bitter Vengeance,A penniless woman helps Hardie's prisoner to escape in exchange for some of the loot.,26 MINS,1961,Tales of Wells Fargo
757,Ep 165 - John Jones,An elderly man is kidnapped off the stagecoach. Does he have the information the kidnappers want?,26 MINS,1961,Tales of Wells Fargo
758,Ep 166 - The Dowry,Hardie is hired to protect Michelle Bovarde and her jewels.,26 MINS,1961,Tales of Wells Fargo
759,Ep 167 - Luke Frazer,Jim pursues Luke Frazer for murder right after he guns Bud Scanlon down.,25 MINS,1959,Tales of Wells Fargo
760,Ep 601 - Casket 7.3,"When an ex Confederate soldier named Justin Brox plans to disrupt the US economy and bankrupt the nation by printing counterfeit 7.3 bonds, Jim Hardie is sent by Wells Fargo to stop Brox in ...",49 MINS,1961,Tales of Wells Fargo
761,Ep 602 - The Dodger,"After 10 years in prison, Jay Squire is after his revenge on Hardie, the man who put him in jail.",49 MINS,1961,Tales of Wells Fargo
762,Ep 603 - Treasure Coach,"Hardie and McCloud working on a tip that the Wells Fargo stagecoach carrying a shipment of gold may be hit, McCloud pretends to be a passenger with Hardie following on horseback.",49 MINS,1961,Tales of Wells Fargo
763,Ep 604 - Death Raffle,"When ex-con Davey Hewitt is thrown off the Wells Fargo train at Gloribee, he takes a job in town and runs into members of his old gang.",49 MINS,1961,Tales of Wells Fargo
764,Ep 605 - Tanoa,"Hardie is tasked with seeking out a new stagecoach route through Native American territory, thus resulting in a conflict within the tribe.",49 MINS,1961,Tales of Wells Fargo
765,Ep 606 - Mr. Mute,"After Mr. Mute's train is robbed, he gets off at Gloribee and Jeb finds the stolen money hidden in Mr. Mute's luggage.",49 MINS,1961,Tales of Wells Fargo
766,Ep 607 - Jeremiah,"After Hardie and McCloud foil a robbery attempt by Jeremiah Logart, the two men follow Logart and his gang.",49 MINS,1961,Tales of Wells Fargo
767,Ep 608 - A Fistful of Pride,"Bonzo Croydon, a washed up boxer fights the Frisco Kid for money he owes for legal fees to his estranged wife for custody of their only child. But, the fight may not be as honest as he thought.",49 MINS,1961,Tales of Wells Fargo
768,Ep 609 - Defiant at the Gate,"After Hardie and McCloud capture Matt Blackner, an outlaw with a heart condition, he agrees to turn over the stolen loot from a Wells Fargo stagecoach if he's allowed to see his wife and dau...",49 MINS,1961,Tales of Wells Fargo
769,Ep 610 - Man of Another Breed,"When retiring stationmaster Frank Dane is stabbed in the back by two thieves, Hardie suspects a missing employee is the culprit.",49 MINS,1961,Tales of Wells Fargo
770,Ep 611 - Kelly's Clover Girls,"After the murder of a Wells Fargo agent, three dance hall ladies are being transported to Nevada to serve as witnesses but the subject is making it difficult for them to get there.",49 MINS,1961,Tales of Wells Fargo
771,Ep 612 - A Killing in Calico,"Jamie Coburn, a member of a notorious gang turns himself in to Hardie and McCloud to help catch the gang's leader. As part of the deal, Hardie agrees to let Coburn visit his sick mother and his wife.",49 MINS,1961,Tales of Wells Fargo
772,Ep 613 - New Orleans Trackdown,Hardie tracks a gentlemen thief to New Orleans who stole a diamond necklace during a stagecoach robbery.,49 MINS,1961,Tales of Wells Fargo
773,Ep 614 - Trackback,Hardie tracks a young outlaw to a bandit hide-out and arrests his brother for a bank robbery. The young outlaw soon takes over while his brother is in jail.,49 MINS,1961,Tales of Wells Fargo
774,Ep 615 - Moneyrun,A former governor of a Mexican province seeks U.S. refuge in San Francisco. Hardie gets involved when the Mexican Federale's woman is a missing passenger on a Wells Fargo stagecoach.,49 MINS,1962,Tales of Wells Fargo
775,Ep 616 - Return to Yesterday,"Hardie's old flame Ella, who is now an opera star must choose between Hardie and her career after her father plots to put them back together with Hardie guarding her and her jewels.",49 MINS,1962,Tales of Wells Fargo
776,Ep 617 - Reward for Gaine,"Jeb Gaine's brother Sergeant Gaine, discovers that the three soldiers held for murder are falsely convicted because of their commander, Colonel Bledsoe's unprovoked attack on Native Americans.",49 MINS,1962,Tales of Wells Fargo
777,Ep 618 - Assignment in Gloribee,"A biased writer from New England is hired by Wells Fargo to write articles about the West. After she witnesses a murder on the train to Gloribee, Hardie investigates.",49 MINS,1962,Tales of Wells Fargo
778,Ep 619 - Incident at Crossbow,Stagecoach passengers are held captive at a Wells Fargo station by an ex-con who insists he was falsely convicted.,49 MINS,1962,Tales of Wells Fargo
779,Ep 620 - Portrait of Teresa,Hardie investigates the strange stagecoach robbery of one letter involving a Mexican girl and her lover who are terrorized by the girl's jealous fiancé.,49 MINS,1962,Tales of Wells Fargo
780,Ep 621 - Hometown Doctor,Cattle drovers make life in Gloribee miserable while waiting for their cattle inspection. Hardie discovers a diabolical plot after one of the drovers becomes ill with an infection.,49 MINS,1962,Tales of Wells Fargo
781,Ep 622 - The Traveler,"Brad Axton, a school teacher wins over the town of Gloribee before his past as a thief is revealed.",49 MINS,1962,Tales of Wells Fargo
782,Ep 623 - Winter Storm,"Jim, Jeb and Tina are forced to take shelter in a ghost town during a blizzard. The town's only two residents have the hotel barricaded awaiting an escaped prisoner out for revenge.",49 MINS,1962,Tales of Wells Fargo
783,Ep 624 - Chauncey,Tina is blinded by love and falls for a trigger happy man with a violent streak.,49 MINS,1962,Tales of Wells Fargo
784,Ep 625 - Who Lives by the Gun,"Hardie and Sheriff Maxon try to prevent a boy from becoming an outlaw after Hardie is forced to shoot him, incurring the wrath of the townspeople.",49 MINS,1961,Tales of Wells Fargo
785,Ep 626 - To Kill a Town,Hardie and his prisoner Lou Reese fight off gunmen out to kill both men.,49 MINS,1962,Tales of Wells Fargo
786,Ep 627 - End of a Minor God,"After Billy Trent murders a townsman, Hardie escorts him out of town on the stage with men in pursuit.",49 MINS,1962,Tales of Wells Fargo
787,Ep 628 - Remember the Yazoo,"Sam Heffridge, a gunman has been bailed out of jail by a robber seeking an ally in New Orleans where Hardie and Jeb are visiting and Hardie soon learns about a plot against Wells Fargo.",49 MINS,1962,Tales of Wells Fargo
788,Ep 629 - The Angry Sky,A mule driver's wife and child are kidnapped by outlaws.,49 MINS,1962,Tales of Wells Fargo
789,Ep 630 - Royal Maroon,"When a friendly wager involving a beautiful woman turns to murder, Hardie investigates a stagecoach robbery after the woman turns up with amnesia.",49 MINS,1962,Tales of Wells Fargo
790,Ep 631 - The Gold Witch,"Two sideshow hypnotists, The Great Reardon and his wife use their powers to fleece a gold-mine owner after Hardie hires them to serve as entertainment at a Wells Fargo celebration.",49 MINS,1962,Tales of Wells Fargo
791,Ep 632 - Don't Wake a Tiger,"When two ex-con brothers kidnap the man who put them in jail, Hardie investigates.",49 MINS,1962,Tales of Wells Fargo
792,Ep 633 - The Wayfarers,"Hardie tracks two bandits fleeing to Mexico with $10,000 belonging to Wells Fargo.",49 MINS,1962,Tales of Wells Fargo
793,Ep 634 - Vignette of a Sinner,"Banker Les Caldwell attempts to steal $100,000 from his own bank. Jim Hardie falls in love.",49 MINS,1962,Tales of Wells Fargo
794,Ep 101 - The Willy Moran Story,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,50 MINS,1957,Wagon Train
795,Ep 102 - The Jean Lebec Story,"A dandy from New Orleans joins the wagon train, causing friction with one town's rough boss. Featuring Ricardo Montalban.",50 MINS,1957,Wagon Train
796,Ep 103 - The John Cameron Story,A man's gorgeous young bride vows to put aside her flirtatious ways--but will her eyes begin to wander on the wagon train?,50 MINS,1957,Wagon Train
797,Ep 104 - The Ruth Owens Story,"A newly-remarried woman is on the wagon train, on her way to a new life with a new husband. But her hot-headed brother arrives--and brings trouble with him. Featuring Shelley Winters and Dea...",50 MINS,1957,Wagon Train
798,Ep 105 - The Les Rand Story,"Fresh out of jail, a man returns home to seek revenge on the man he believes killed his bride--his own father!",50 MINS,1957,Wagon Train
799,Ep 106 - The Nels Stack Story,"A quiet man joins the wagon train, drawing suspicion from the others when he makes friends with an elderly Indian.",50 MINS,1957,Wagon Train
800,Ep 107 - The Emily Rossiter Story,"After her first husband is murdered, a woman remarries and hopes for a brighter future for her daughter. But her second husband--a tough bandit--leads them down a dangerous path.",50 MINS,1957,Wagon Train
801,Ep 108 - The John Darro Story,"On the wagon train, a couple's plans to keep a secret from their son are thwarted by a man from the husband's past. Featuring Eddie Albert.",50 MINS,1957,Wagon Train
802,Ep 109 - The Charles Avery Story,Flint accompanies a Union officer on his way to deliver a peace treaty to an Indian chief. Featuring Chuck Connors.,49 MINS,1957,Wagon Train
803,Ep 110 - The Mary Halstead Story,A woman with regrets joins the wagon train in search of the son she abandoned years earlier. The train picks up a man wounded in a battle with outlaws.,50 MINS,1957,Wagon Train
804,Ep 111 - The Zeke Thomas Story,"While the wagon train is stranded in a small town, a married man is surprised to see his first wife - who he thought was dead!",49 MINS,1957,Wagon Train
805,Ep 112 - The Riley Gratton Story,A con man fleeces members of the wagon train and departs - but soon Adams is on the trail to recover the stolen money.,50 MINS,1957,Wagon Train
806,Ep 113 - The Clara Beauchamp Story,"An army officer's wife, tired of the frontier, sets up a fake confrontation with the local Native Americans in hopes of getting her husband sent back east.",49 MINS,1957,Wagon Train
807,Ep 114 - The Julia Gage Story,A strong-willed but single woman tries to handle her wagon by herself - then a reluctant volunteer steps up.,50 MINS,1957,Wagon Train
808,Ep 115 - The Cliff Grundy Story,"A man is badly hurt in a buffalo stampede, and two men volunteer to stay behind and nurse him back to health - but do they have other plans?",49 MINS,1957,Wagon Train
809,Ep 116 - The Luke O'Malley Story,A gambler on the run disguises himself as a traveling preacher - but story doesn't hold up!,50 MINS,1958,Wagon Train
810,Ep 117 - The Jesse Cowan Story,A Civil War veteran tracks the wagon train - where he believes he can find the people responsible for his parent's deaths!,49 MINS,1958,Wagon Train
811,Ep 118 - The Gabe Carswell Story,A bitter young half-Indian man attempts to lead an attack against the wagon train.,50 MINS,1958,Wagon Train
812,Ep 119 - The Honorable Don Charlie Story,"During a stopover, a local lothario attempts to woo some female passengers.",49 MINS,1958,Wagon Train
813,Ep 120 - The Dora Gray Story,Evidence of illegal gun sales to local Native Americans leads to a gun runner and Dora Gray. With Dan Blocker (Hoss on Bonanza).,50 MINS,1958,Wagon Train
814,Ep 121 - The Annie MacGregor Story,A group of immigrants from Scotland - complete with bagpipes - joins the wagon train.,49 MINS,1958,Wagon Train
815,Ep 122 - The Bill Tawnee Story,"A Sioux native who fought in the Civil War joins the train, but the travelers fear him and urge his ouster.",50 MINS,1958,Wagon Train
816,Ep 123 - The Mark Hanford Story,"A young man rides out to meet his father's new bride arriving with the wagon train - but, recalling his dead mother, he doesn't have a pleasant welcome in mind!",49 MINS,1958,Wagon Train
817,Ep 124 - The Bernal Sierra Story,A man from south of the border joins the train in search of bandits who killed a guard and made off with a cache of gold.,50 MINS,1958,Wagon Train
818,Ep 125 - The Marie Dupress Story,A flirtatious young girl attracts a young Sicilian immigrant - is trouble ahead? With Nick Adams (The Rebel).,49 MINS,1958,Wagon Train
819,Ep 126 - A Man Called Horse,A white man called Horse spins his amazing tale of becoming an Indian.,50 MINS,1958,Wagon Train
820,Ep 127 - The Sarah Drummond Story,Flint stays over with friends and becomes in a dispute with their bigoted neighbor.,49 MINS,1958,Wagon Train
821,Ep 128 - The Sally Potter Story,A pretty young woman stirs the passions of a passenger and his nephew.,50 MINS,1958,Wagon Train
822,Ep 129 - The Daniel Barrister Story,"A woman is injured in an accident, but her husband insists that prayers for recovery be the only remedy.",49 MINS,1958,Wagon Train
823,"Ep 130 - The Major Adams Story, Part 1",The Major meets up with his former love - a woman who married another when she thought the Major was killed in the Civil War.,50 MINS,1958,Wagon Train
824,"Ep 131 - The Major Adams Story, Part 2",The Major is eager to rekindle a lost romance when he meets up with a former lover - but the now-widowed lady is reluctant.,49 MINS,1958,Wagon Train
825,Ep 132 - The Charles Maury Story,"A band of renegade former Confederates is roaming the frontier, attacking trains - but the Union soldiers who come on board to protect the wagon train raise suspicions.",50 MINS,1958,Wagon Train
826,Ep 133 - The Dan Hogan Story,Adams reunites with an old friend who has just become the deputy sheriff in a small town - and this gun-less lawman has got a problem.,49 MINS,1958,Wagon Train
827,Ep 134 - The Ruttledge Munrow Story,"The Major takes in a young boy who has lost his horse - but after the newcomer shoots two men trying to rob the train, other passengers fear him.",50 MINS,1958,Wagon Train
828,Ep 135 - The Rex Montana Story,A showman with a Wild West show joins the train - but his reputation for bravery seem suspect. With Forrest Tucker (F Troop).,49 MINS,1958,Wagon Train
829,Ep 136 - The Cassie Tanner Story,A tough-as-nails single woman is saved from an Indian attack - and it's love at first sight when she meets the Major! With Marjorie Main.,50 MINS,1958,Wagon Train
830,Ep 137 - The John Wilbot Story,A rabid abolitionist accuses a crippled schoolteacher of being presidential assassin John Wilkes Booth!,49 MINS,1958,Wagon Train
831,Ep 138 - The Monty Britton Story,"The wagon train is running low on water, and the only well for miles is poisoned - an Army camp has water, but the one man who knows where it's located won't give directions!",50 MINS,1958,Wagon Train
832,Ep 139 - The Sacramento Story,"At trail's end in Sacramento, a man discovers the fertile land he bought is actually a swamp - can he get restitution? With Dan Duryea, Marjorie Main.",49 MINS,1958,Wagon Train
833,Ep 201 - Around The Horn,Members of the trail crew find themselves in San Francisco - where they are shanghaied and heading for New Orleans by way of South America! With Ernest Borgnine.,50 MINS,1958,Wagon Train
834,Ep 202 - The Juan Ortega Story,"A young Mexican who witnessed his father's brutal killing is able, via his knowledge of herbs, to help a tortured Indian - but a dark secret is revealed!",50 MINS,1958,Wagon Train
835,Ep 203 - The Jennifer Churchhill Story,"A beautiful young woman is a runaway bride, and her father has posted a reward - but Flint decides to help her escape! With Rhonda Fleming.",50 MINS,1958,Wagon Train
836,Ep 204 - The Tobias Jones Story,An orphan and a drifter are stowaways and must work off their passage - but is one of them a murderer?,50 MINS,1958,Wagon Train
837,Ep 205 - The Liam Fitzmorgan Story,Tensions rise when an Irishman looking for a murderer raises the suspicions of other Irish immigrants on the wagon train. With Cliff Robertson.,50 MINS,1958,Wagon Train
838,Ep 206 - The Doctor Willoughby Story,A female doctor is traveling west - and Indians threaten to attack the train unless the doctor can save a badly injured chief.,50 MINS,1958,Wagon Train
839,Ep 207 - The Bije Wilcox Story,"A man joins the train, with a letter from a stranger who claims he can help find the man's missing brother. With Chill Wills.",50 MINS,1958,Wagon Train
840,Ep 208 - The Millie Davis Story,"Ahead of the train, Flint meets an old friend who is afraid she might lose her daughter.",50 MINS,1958,Wagon Train
841,Ep 209 - The Sake Ito Story,A samurai warrior and his servant arrive carrying a large urn - which is stolen because the thieves believe it's full of gold!,50 MINS,1958,Wagon Train
842,Ep 210 - The Tent City Story,Flint quits the wagon train to become a lawman for frontier Tent City. With Slim Pickens.,50 MINS,1958,Wagon Train
843,Ep 211 - The Beauty Jamison Story,A woman rancher refuses to let the wagon train cross her land.,50 MINS,1958,Wagon Train
844,Ep 212 - The Mary Ellen Thomas Story,An orphan girl is shunned by the other passengers due to her ugly disposition.,50 MINS,1958,Wagon Train
845,Ep 213 - The Dick Richardson Story,"Adams sends two men out to buy fresh horses - but when one of the men's horse's returns riderless to camp, trouble ensues.",50 MINS,1958,Wagon Train
846,Ep 214 - The Kitty Angel Story,"A single woman, shunned by the wives of the train, decides to care for an Indian baby suffering from smallpox - a conflict ensues.",50 MINS,1959,Wagon Train
847,Ep 215 - The Flint McCullough Story,Flint meets up with an old enemy while passing by Fort Bridger.,50 MINS,1959,Wagon Train
848,Ep 216 - The Hunter Malloy Story,Two bad men abandon their plans to rob passengers when they discover gold - but winter is approaching.,50 MINS,1959,Wagon Train
849,Ep 217 - The Ben Courtney Story,Flint escorts passengers to a new home in Bitter Springs - but racism causes a controversy.,50 MINS,1959,Wagon Train
850,Ep 218 - The Ella Lindstrom Story,Screen legend Bette Davis stars as a widowed woman struggling to care for her seven children as the train moves west.,50 MINS,1959,Wagon Train
851,Ep 219 - The Last Man,The train picks up the sole survivor of an ill-fated wagon train - but the man's diary indicates he may have caused its destruction!,50 MINS,1959,Wagon Train
852,Ep 220 - The Old Man Charvanaugh Story,Flint and a family find themselves lost and wandering after encountering a musical bandit.,50 MINS,1959,Wagon Train
853,Ep 221 - The Annie Griffith Story,"Injured while scouting a pass in snow-covered mountains, Flint finds himself with a woman who wants to trade him to the Indians!",50 MINS,1959,Wagon Train
854,Ep 222 - The Jasper Cato Story,"A stranger from Boston joins the train, asking suspicious questions about a newspaper editor in a nearby town.",50 MINS,1959,Wagon Train
855,Ep 223 - The Vivian Carter Story,Flint escorts a woman to meet her fiance - but the man is already married! With Lorne Greene (Bonanza).,50 MINS,1959,Wagon Train
856,Ep 224 - The Conchita Vasquez Story,Flint is lured by a Latin beauty into a trap - but later she decides to help him.,50 MINS,1959,Wagon Train
857,Ep 225 - The Sister Rita Story,Flint agrees to escort three nuns on their way west to start a school. With Vera Miles.,50 MINS,1959,Wagon Train
858,Ep 226 - The Matthew Lowry Story,A one-armed Quaker man faces accusations of cowardice.,50 MINS,1959,Wagon Train
859,Ep 227 - The Swift Cloud Story,The crippled son of an Indian chief is captured just when the train is threatened by attack - can they trade the boy for safe passage?,50 MINS,1959,Wagon Train
860,Ep 228 - The Vincent Eaglewood Story,A mild-mannered man takes his new job as schoolteacher for the children on the train very seriously. With Wally Cox.,50 MINS,1959,Wagon Train
861,Ep 229 - The Clara Duncan Story,A young woman and her father head west to try and find her missing fiancè - an artist who may be in trouble. With Angie Dickinson.,50 MINS,1959,Wagon Train
862,Ep 230 - The Duke Le May Story,"An escaped convict joins the train, but a shootout with a deputy causes trouble.",50 MINS,1959,Wagon Train
863,Ep 231 - The Kate Parker Story,An injured woman finds her life on the line when a couple who offered to stay behind and help instead plan to steal her gold!,50 MINS,1959,Wagon Train
864,Ep 232 - The Steve Campden Story,"Scouting for a mountain passage in a winter storm, Flint and friends take refuge in a cave - but this warm spot already has a resident, with great big teeth!",50 MINS,1959,Wagon Train
865,"Ep 233 - Chuck Wooster, Wagonmaster","A blizzard stops the train, and the Major and Flint disappear. A new wagonmaster takes over!",50 MINS,1959,Wagon Train
866,Ep 234 - The Jose Maria Moran Story,"A Spanish-Irish man who has lived with Pawnees is captured and left to die by rival Indians - when the train saves him, they are all in danger. With Robert Loggia.",50 MINS,1959,Wagon Train
867,Ep 235 - The Andrew Hale Story,"A preacher accidentally kills a man, and is found wandering the desert by the train.",50 MINS,1959,Wagon Train
868,Ep 236 - The Rodney Lawrence Story,"The train encounters a wandering band of Indians, who have a young man they want to hand over.",50 MINS,1959,Wagon Train
869,Ep 237 - The Steele Family,A woman with four marriage-ready daughters joins the train - looking for husbands!,50 MINS,1959,Wagon Train
870,Ep 238 - The Jenny Tannen Story,A young woman on her way to San Francisco becomes blinded in an accident.,50 MINS,1959,Wagon Train
871,Ep 301 - The Stagecoach Story,"Adams, Hawks and Wooster are having trouble getting over their San Francisco layover - but the appearance of a lovely Spanish lass brightens the prospects!",50 MINS,1959,Wagon Train
872,Ep 302 - The Greenhorn Story,The comic antics of an Eastern 'greenhorn' threaten to go out of control. With Mickey Rooney.,50 MINS,1959,Wagon Train
873,Ep 303 - The C.L. Harding Story,A female newspaper reporter joins the train and starts talking to the women about voting!,50 MINS,1959,Wagon Train
874,Ep 304 - The Estaban Zamora Story,A Spanish Basque joins the train so he can meet his three sons - but one of them has been murdered! With Leonard Nimoy.,50 MINS,1959,Wagon Train
875,Ep 305 - The Elizabeth McQueeny Story,Hollywood legend Bette Davis stars as a woman running a finishing school for young women - a dozen of them join the train.,50 MINS,1959,Wagon Train
876,Ep 306 - The Martha Barnham Story,A young woman accuses of Flint of perfidy - until she needs his help in rescuing her fiance!,50 MINS,1959,Wagon Train
877,Ep 307 - The Cappy Darrin Story,An elderly river boat captain and his grandson joing the train before striking out on their own. With Ed Wynn.,50 MINS,1959,Wagon Train
878,Ep 308 - The Felizia Kingdom Story,A strong-willed woman holds Flint hostage and refuses permission to let the train pass through her land.,50 MINS,1959,Wagon Train
879,Ep 309 - The Jess MacAbee Story,Flint encounters a man with five beautiful daughters - and a secret! With Andy Devine.,50 MINS,1959,Wagon Train
880,Ep 310 - The Danny Benedict Story,The Major finds a teenage runaway alone on the frontier - but the boy won't join the wagon train.,50 MINS,1959,Wagon Train
881,Ep 311 - The Vittorio Bottecelli Story,An Italian duke tries seducing the women on the wagon train - but he's running into trouble. With Elizabeth Montgomery.,50 MINS,1959,Wagon Train
882,Ep 312 - The St. Nicholas Story,"During a Christmas Eve stopover, a young boy wanders out of camp in search of St. Nicholas.",50 MINS,1959,Wagon Train
883,Ep 313 - The Ruth Marshall Story,Flint goes in search of a woman captured by the Indians.,50 MINS,1959,Wagon Train
884,Ep 314 - The Lita Foladaire Story,"The Major finds a badly injured woman on the trail - when she dies, he begins a manhunt.",50 MINS,1960,Wagon Train
885,Ep 315 - The Colonel Harris Story,Flint looks forward to a reunion with two old friends - but he finds them engaged in a vicious feud.,50 MINS,1960,Wagon Train
886,Ep 316 - The Maidie Brandt Story,A beautiful widow teaches her son to hold the weak in contempt - one passenger tries to discover why.,50 MINS,1960,Wagon Train
887,Ep 317 - The Larry Hanify Story,Flint agrees to take care of dying man's son - even though the boy cannot be trusted.,50 MINS,1960,Wagon Train
888,Ep 318 - The Clayton Tucker Story,A group of travelers must find the rendevous spot on their own when their guide dies while leading them to the train. With Jeff Morrow.,50 MINS,1960,Wagon Train
889,Ep 319 - The Benjamin Burns Story,Flint finds himself accused of murder when he returns from trying to find fresh water for the train.,50 MINS,1960,Wagon Train
890,Ep 320 - The Ricky and Laura Bell Story,A young family moving west is troubled when a new father is jealous of his infant son.,50 MINS,1960,Wagon Train
891,Ep 321 - The Tom Tuckett Story,A hunted man risks capture as he attempts to visit a young man who once helped him.,50 MINS,1960,Wagon Train
892,Ep 322 - The Tracy Sadler Story,A woman recently released from prison learns that the son she had to give up years earlier may be on the wagon train.,50 MINS,1960,Wagon Train
893,Ep 323 - The Alexander Portlass Story,An English treasure hunter and a band of outlaws capture Flint to force him to become their guide across the desert. With Peter Lorre.,50 MINS,1960,Wagon Train
894,Ep 324 - The Christine Elliot Story,A dozen orphan boys join the train as they escape from a plan to place them under government care.,50 MINS,1960,Wagon Train
