,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
192,The Taking of Pelham 123,R,105 MINS,"ACTION, SUSPENSE",2009,"Denzel Washington, John Travolta, John Turturro",A subway dispatcher calls on his extensive knowledge of the transit system to outwit hijackers who are threatening to kill passengers unless a ransom is paid.,https://www.starz.com/us/en/movies/the-taking-of-pelham-123-33037
193,No One Lives,R,86 MINS,"HORROR, SUSPENSE",2012,"Luke Evans, Adelaide Clemens, Lee Tergesen",A gang of vicious highway killers kidnap a wealthy couple passing through their isolated town - only they didn't count on these tourists being maniacally able to take care of themselves!,https://www.starz.com/us/en/movies/no-one-lives-30867
194,Pimp,TV-MA,85 MINS,"CRIME, DRAMA",2018,"Keke Palmer, Edi Gathegi, Aunjanue Ellis","After learning the ropes from her father, a young woman works as a pimp while fighting to protect her girls, her drug addicted mother, and her girlfriend.",https://www.starz.com/us/en/movies/pimp-64185
195,Pawn,R,88 MINS,"ACTION, SUSPENSE",2013,"Forest Whitaker, Michael Chiklis, Nikki Reed",A petty robbery spirals into a tense hostage situation after three gunmen hold up a diner that's a front for the mob.,https://www.starz.com/us/en/movies/pawn-30852
196,Trois 3: The Escort,R,95 MINS,"DRAMA, SUSPENSE",2004,"Brian J. White, Patrice Fisher, Reagan Gomez-Preston",A high-priced escort upsets a powerful businesswoman when he falls for a call girl who works for the same madam.,https://www.starz.com/us/en/movies/trois-3-the-escort-68467
197,Trois 2: Pandora's Box,R,103 MINS,"DRAMA, SUSPENSE",2002,"Monica Calhoun, Michael White, Kristoff St. John",A beautiful psychiatrist - whose love life is on hold - gets caught up in a world of steamy sex and ugly blackmail when she takes on a patient whose husband was murdered.,https://www.starz.com/us/en/movies/trois-2-pandoras-box-68465
198,The Amityville Moon,R,92 MINS,"HORROR, SUSPENSE",2021,"Trey McCurley, Tuesday Knight, Augie Duke",A detective hired to find two runaway girls uncovers a horrifying secret at a boarding home run by the church.,https://www.starz.com/us/en/movies/the-amityville-moon-68739
199,Amityville: The Awakening,PG-13,87 MINS,"HORROR, SUSPENSE",2017,"Jennifer Jason Leigh, Bella Thorne, Cameron Monaghan","A desperate single mother moves with her three children into the notoriously haunted Amityville house hoping its dark powers might cure her comatose son, but things go horribly wrong.",https://www.starz.com/us/en/movies/amityville-the-awakening-38047
200,Fear,R,97 MINS,HORROR,2023,"Joseph Sikora, Andrew Bachelor, Annie Ilonzeh",A weekend vacation turns sinister when a group of friends must confront their worst fears one by one.,https://www.starz.com/us/en/movies/fear-69627
201,The Amityville Harvest,R,94 MINS,"HORROR, SUSPENSE",2020,"Kyle Lowder, Sadie Katz, Paul Logan",Members of a documentary crew meet a mysterious man who seems to possess supernatural powers at a crumbling manor.,https://www.starz.com/us/en/movies/the-amityville-harvest-68735
202,Tales From The Hood,R,97 MINS,"HORROR, COMEDY",1995,"Clarence Williams III, Joe Torry, Wings Hauser","Three young hustlers, searching for stolen drugs in a mortuary, become enchanted by the supernatural tales told by the undertaker.",https://www.starz.com/us/en/movies/tales-from-the-hood-30239
203,Amityville II: The Possession,R,104 MINS,"DRAMA, HORROR",1982,"Burt Young, Rutanya Alda, James Olson","Before horror struck a house in Amityville, there was a disturbed family who lived there - including a brutal father, an insane son, and devilish spiritual possessions! The prequel to The Amityville Horror.",https://www.starz.com/us/en/movies/amityville-ii-the-possession-47987
204,The Grudge,R,93 MINS,"HORROR, MYSTERY",2020,"Tara Westwood, John Cho, Andrea Riseborough",A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,https://www.starz.com/us/en/movies/the-grudge-52188
205,Vacancy,R,85 MINS,"CRIME, HORROR",2007,"Kate Beckinsale, Luke Wilson, Frank Whaley","A couple are stranded at a desolate, run-down motel run by a twitchy manager - are those real murders on the in-room video tapes, and why are there multiple video cameras throughout the motel?",https://www.starz.com/us/en/movies/vacancy-24025
206,The Grudge,PG-13,91 MINS,"HORROR, SUSPENSE",2004,"Sarah Michelle Gellar, Jason Behr, William Mapother","A murderous supernatural curse passes like a virus in Tokyo, infecting and possessing its victims in unspeakable horrors - an American nurse frantically searches for a way to destroy the evil!",https://www.starz.com/us/en/movies/the-grudge-29285
207,The Curse of La Patasola,R,84 MINS,HORROR,2022,"AJ Jones, Luciana Faulhaber, Patrick Walker","On a weekend camping trip, two struggling couples are haunted by La Patasola, a famed vampiric monster from Amazonian folklore.",https://www.starz.com/us/en/movies/the-curse-of-la-patasola-67037
208,Firestarter,R,94 MINS,"HORROR, DRAMA",2022,"Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon",An operative pursues an 11-year-old girl who can turn fire into a weapon of mass destruction.,https://www.starz.com/us/en/movies/firestarter-66776
209,Our Deadly Vows,TV-14,81 MINS,"DRAMA, HORROR",2023,"K.D. Chalk, Chris Chalk, Ashlei Sharpe Chestnut","Before moving to Spain, a young couple gathers with friends for one last hurrah, but what starts as a loving dinner party, ends in a bloody fight for survival where no one is to be trusted.",https://www.starz.com/us/en/movies/our-deadly-vows-69835
210,Hanging Up,PG-13,94 MINS,"COMEDY, DRAMA",2000,"Meg Ryan, Lisa Kudrow, Diane Keaton","Three successful, slightly manic adult sisters must come to grips with their elderly dad's declining health - even though none of them are close to him, decisions must be made.",https://www.starz.com/us/en/movies/hanging-up-12099
211,Limitless,PG-13,104 MINS,"SUSPENSE, ACTION",2011,"Robert De Niro, Bradley Cooper, Abbie Cornish","With the help of a mysterious pill that enables the user to access his brain's full abilities, a struggling writer becomes a financial wizard - and enters a new and dangerous world.",https://www.starz.com/us/en/movies/limitless-50426
212,The Whole Nine Yards,R,98 MINS,"COMEDY, CRIME",2000,"Bruce Willis, Matthew Perry, Rosanna Arquette","A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",https://www.starz.com/us/en/movies/the-whole-nine-yards-51703
213,The Infiltrator,R,127 MINS,"CRIME, DRAMA",2016,"Bryan Cranston, Diane Kruger, John Leguizamo","In 1986, federal agent Robert Mazur poses as a money-laundering businessman to infiltrate the trafficking network of Colombian drug kingpin Pablo Escobar.",https://www.starz.com/us/en/movies/the-infiltrator-68613
214,Money Monster,R,98 MINS,"DRAMA, SUSPENSE",2016,"George Clooney, Julia Roberts, Jack O'Connell",A gunman holds a financial talk show host hostage on live television after losing his family's money on a bad tip. He threatens to kill the talk show host if he doesn't get a particular stock to go up before the closing bell.,https://www.starz.com/us/en/movies/money-monster-29877
215,The 355,PG-13,122 MINS,"ACTION, SUSPENSE",2022,"Jessica Chastain, Lupita Nyong'o, Penélope Cruz","CIA agent Mason ""Mace"" Brown joins forces with a rival German agent, a cutting-edge computer specialist and a Colombian psychologist when a top-secret weapon falls into the hands of a group of mercenaries.",https://www.starz.com/us/en/movies/the-355-64722
216,Hostiles,R,134 MINS,"ADVENTURE, DRAMA",2017,"Christian Bale, Rosamund Pike, Wes Studi","In 1892, a legendary Army captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",https://www.starz.com/us/en/movies/hostiles-67524
217,Only The Brave,PG-13,134 MINS,"DRAMA, TRUE STORY",2017,"Taylor Kitsch, Jennifer Connelly, Josh Brolin","A drama based on the elite crew of firemen from Prescott, Arizona who battled a 2013 wildfire in Yarnell, AZ that claimed the lives of 19 of their members.",https://www.starz.com/us/en/movies/only-the-brave-38425
218,Traitor,PG-13,114 MINS,"ACTION, DRAMA",2008,"Don Cheadle, Guy Pearce, Said Taghmaoui","A former US Special Ops agent - suspected of helping the terrorist group he's infiltrated - becomes the focus of an international hunt by the FBI in this twisting, pulse-pounding thriller.",https://www.starz.com/us/en/movies/traitor-30168
219,Brown Sugar,PG-13,109 MINS,"COMEDY, ROMANCE",2002,"Sanaa Lathan, Taye Diggs, Queen Latifah",Romance ensues when a journalist falls in love with her best friend - an executive for a hip-hop record label. But what will his fiance think?,https://www.starz.com/us/en/movies/brown-sugar-38409
220,Sparkle,PG-13,116 MINS,"DRAMA, MUSICAL",2012,"Whitney Houston, Jordin Sparks, Derek Luke","In 1968 Detroit, a musical prodigy tries to balance romance with the new challenges life brings, as she and her sisters struggle for Motown stardom.",https://www.starz.com/us/en/movies/sparkle-50570
221,Underworld: Blood Wars,R,91 MINS,"ACTION, FANTASY",2017,"Kate Beckinsale, Theo James, Tobias Menzies",The next installment in the action-packed adventures of the vampire warrior Selene.,https://www.starz.com/us/en/movies/underworld-blood-wars-29550
222,Careful What You Wish For,R,91 MINS,"SUSPENSE, DRAMA",2015,"Nick Jonas, Dermot Mulroney, Isabel Lucas",Complications arise when a young man has an affair with the seductive wife of an investment banker.,https://www.starz.com/us/en/movies/careful-what-you-wish-for-27614
223,Mad Money,PG-13,104 MINS,"COMEDY, CRIME",2008,"Diane Keaton, Queen Latifah, Katie Holmes",A trio of female Federal Reserve employees concoct a plan to relieve their workplace of paper money slated for destruction - but comic complications threaten their foolproof scheme! Written and directed by Callie Khouri.,https://www.starz.com/us/en/movies/mad-money-1037
224,Dr. Dolittle,PG-13,85 MINS,"COMEDY, FAMILY",1998,"Eddie Murphy, Ossie Davis, Oliver Platt",A doctor's life is turned upside down when he discovers he has the ability to talk to animals.,https://www.starz.com/us/en/movies/dr-dolittle-24149
225,Body Parts,TV-MA,86 MINS,DOCUMENTARY,2022,"Rose McGowan, Mishel Prada, Jane Fonda","An insightful and revealing documentary that shows the evolution of desire and ""sex"" on-screen from a female perspective.",https://www.starz.com/us/en/movies/body-parts-68817
226,Witch Hunt,R,97 MINS,"HORROR, SUSPENSE",2021,"Gideon Adlon, Abigail Cowen, Christian Camargo","In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices.",https://www.starz.com/us/en/movies/witch-hunt-66513
227,Talk To Me,R,118 MINS,"DRAMA, TRUE STORY",2007,"Don Cheadle, Cedric The Entertainer, Mike Epps","Fueled by the music and social upheaval of the times, ex-convict Ralph ""Petey"" Greene becomes a radio personality and courts controversy in 1960s Washington, D.C.",https://www.starz.com/us/en/movies/talk-to-me-34856
228,Surviving Sex Trafficking,TV-MA,70 MINS,DOCUMENTARY,2022,"Jeannie Jenkins, Sadhvi Shree, Daniel Amen","With 45 million sex trafficking victims worldwide, only 1% manage to escape or be rescued. Surviving Sex Trafficking examines the ongoing struggles of those survivors as they desperately fight to break free of their past.",https://www.starz.com/us/en/movies/surviving-sex-trafficking-67949
229,Mothering Sunday,R,104 MINS,"DRAMA, ROMANCE",2022,"Odessa Young, Josh O'Connor, Olivia Colman",A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman.,https://www.starz.com/us/en/movies/mothering-sunday-64825
230,Death Race,R,104 MINS,"ACTION, SCI-FI",2008,"Jason Statham, Tyrese Gibson, Ian McShane",Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in a lethal car race where inmates must brutalize and kill one another on the road to victory.,https://www.starz.com/us/en/movies/death-race-50204
231,Never Been Kissed,PG-13,107 MINS,"COMEDY, ROMANCE",1999,"Drew Barrymore, David Arquette, Marley Shelton",A journalist enrolls in her old high school as part of her research for a story.,https://www.starz.com/us/en/movies/never-been-kissed-24477
232,There's Something About Mary,R,119 MINS,"COMEDY, ROMANCE",1998,"Cameron Diaz, Matt Dillon, Ben Stiller","A Wall Street broker decides to look up a girl he had a crush on in high school, but the private investigator he hires to find her ends up falling for her too.",https://www.starz.com/us/en/movies/theres-something-about-mary-26255
233,Reno 911!: Miami,R,80 MINS,"COMEDY, CRIME",2007,"Thomas Lennon, Ben Garant, Mary Birdsong",A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break.,https://www.starz.com/us/en/movies/reno-911-miami-51186
234,The Mist,R,126 MINS,"HORROR, SCI-FI",2007,"Thomas Jane, Marcia Gay Harden, Laurie Holden","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",https://www.starz.com/us/en/movies/the-mist-66442
235,Revenge Of The Nerds,R,90 MINS,COMEDY,1984,"Robert Carradine, Anthony Edwards, Ted McGinley","The original geek squad in their first screen adventure! Nerdy freshmen, hassled by jocks and beautiful coeds, band together in their own fraternity house and fight back, wreaking comedic havoc on campus! Nerds!!",https://www.starz.com/us/en/movies/revenge-of-the-nerds-33425
236,Transporter 2,PG-13,87 MINS,"ACTION, CRIME",2005,"Jason Statham, Amber Valletta, Alessandro Gassman","Framed for the kidnapping of a politician's son, ""Transporter"" Frank Martin must defy the FBI and race to find an antidote after the child is injected with a deadly virus.",https://www.starz.com/us/en/movies/transporter-2-26256
237,Battle For The Planet Of The Apes,G,86 MINS,"SCI-FI, SEQUEL",1973,"Roddy McDowall, Claude Akins, Natalie Trundy","The final Battle For The Planet Of The Apes! The apes have taken control of what's left of Earth - Caesar must contend not only with rebellious humans, but his own gorilla generals! The fifth and final Apes film.",https://www.starz.com/us/en/movies/battle-for-the-planet-of-the-apes-38207
238,Beneath The Planet Of The Apes,G,94 MINS,"SCI-FI, SEQUEL",1970,"James Franciscus, Kim Hunter, Charlton Heston","In Beneath The Planet Of The Apes, a mission to rescue the original trio of astronauts crashes onto the planet just as the gorilla generals, now in control, plan a genocidal attack. The second Apes film.",https://www.starz.com/us/en/movies/beneath-the-planet-of-the-apes-38213
239,The Transporter,PG-13,92 MINS,"ACTION, CRIME",2002,"Jason Statham, Shu Qi, Matt Schulze","Complications arise when a man breaks the rule of his job: to deliver packages without asking any questions. But his latest delivery is a beautiful woman. A high-octane, action-packed thriller!",https://www.starz.com/us/en/movies/the-transporter-38861
240,Escape From The Planet Of The Apes,G,97 MINS,"SCI-FI, SEQUEL",1971,"Roddy McDowall, Kim Hunter, Bradford Dillman","In Escape From The Planet Of The Apes, scientist chimps Cornelius and Zira travel through time and space to 20th century Earth - at first they're welcome, but soon they are running for their lives! The third Apes film.",https://www.starz.com/us/en/movies/escape-from-the-planet-of-the-apes-38209
241,Revenge Of The Nerds 2: Nerds In Paradise,PG-13,89 MINS,"COMEDY, SEQUEL",1987,"Robert Carradine, Curtis Armstrong, Timothy Busfield","The pocket-protector gang travels to Fort Lauderdale for a fraternity conference, fending off loads of bullies and jocks with raunchy humor in this cult classic sequel to ""Revenge Of The Nerds.""",https://www.starz.com/us/en/movies/revenge-of-the-nerds-2-nerds-in-paradise-1426
242,License To Drive,PG-13,90 MINS,"COMEDY, TEEN",1988,"Corey Haim, Corey Feldman, Carol Kane","After failing his driving test, a teen takes his grandfather's classic Cadillac out for a spin anyway, hoping to impress a girl - but this joyride quickly turns into a hilarious disaster!",https://www.starz.com/us/en/movies/license-to-drive-37814
243,My Best Friend's Girl,R,100 MINS,"COMEDY, ROMANCE",2008,"Dane Cook, Kate Hudson, Jason Biggs","Tank, a guy hired to take girls on horrible dates so they crawl back to the boyfriends they dumped, struggles with his libido and the meaning of friendship when his best pal needs his help with the girl who dumped him.",https://www.starz.com/us/en/movies/my-best-friends-girl-50076
244,Downton Abbey: A New Era,PG,125 MINS,"DRAMA, ROMANCE",2022,"Hugh Bonneville, Jim Carter, Michelle Dockery",Follow-up to the 2019 feature film in which the Crawley family and Downton staff received a royal visit from the King and Queen of Great Britain.,https://www.starz.com/us/en/movies/downton-abbey-a-new-era-64981
245,Playing It Cool,R,95 MINS,"COMEDY, ROMANCE",2014,"Chris Evans, Michelle Monaghan, Topher Grace",A struggling screenwriter is assigned to pen a romantic comedy - except he's never been in love. Then he meets a charming young woman and discovers what all the fuss is about!,https://www.starz.com/us/en/movies/playing-it-cool-24017
246,Redeeming Love,PG-13,134 MINS,"DRAMA, ROMANCE",2022,"Abigail Cowen, Tom Lewis, Logan Marshall-Green","After meeting Michael and experiencing love for the first time, Angel, facing demons that seem unbeatable, learns that she has the power to choose the life she wants.",https://www.starz.com/us/en/movies/redeeming-love-67049
247,Spread,R,97 MINS,"DRAMA, ROMANCE",2009,"Ashton Kutcher, Anne Heche, Margarita Levieva","After his latest conquest turns sour, a sexual con artist engages in a game of one-upmanship with a waitress who shares his ambitions.",https://www.starz.com/us/en/movies/spread-6801
248,The Best Of Me,PG-13,117 MINS,"DRAMA, ROMANCE",2014,"Michelle Monaghan, James Marsden, Liana Liberato","The funeral of a close friend reunites former high-school sweethearts, who find that they are still in love after 20 years apart.",https://www.starz.com/us/en/movies/the-best-of-me-51059
249,The Swearing Jar,TV-MA,110 MINS,"DRAMA, ROMANCE",2022,"Adelaide Clemens, Patrick J. Adams, Douglas Smith","""It is a rare and miraculous thing to find your one true soul mate."" Carey soon learns that finding two of them can pose an even greater problem.",https://www.starz.com/us/en/movies/the-swearing-jar-68031
250,How The Gringo Stole Christmas,PG-13,80 MINS,COMEDY,2023,"George Lopez, Mariana Treviño, Emily Tosta",Bennie's Christmas celebration goes from merry to messy when his daughter shows up with her new boyfriend.,https://www.starz.com/us/en/movies/how-the-gringo-stole-christmas-71655
251,Because I Said So,PG-13,101 MINS,"COMEDY, DRAMA",2007,"Diane Keaton, Mandy Moore, Gabriel Macht",The proud but meddlesome mother of three women tries to find the perfect man for her youngest daughter by placing an online personal ad.,https://www.starz.com/us/en/movies/because-i-said-so-31541
252,Monster Hunter,PG-13,103 MINS,"ACTION, ADVENTURE",2020,"Milla Jovovich, Tony Jaa, Jannik Schümann","Transported to a strange world, Lt. Artemis and her team of elite soldiers join forces with a mysterious hunter to battle dangerous and powerful monsters that rule their domain with deadly ferocity.",https://www.starz.com/us/en/movies/monster-hunter-59525
253,League Of Gods,PG-13,109 MINS,"ACTION, FANTASY",2016,"Jet Li, Tony L. Ka Fai, Louis Koo",King Zhou slowly turns into a tyrant due to the influence of a vixen spirit. Subtitled.,https://www.starz.com/us/en/movies/league-of-gods-34795
254,Flatliners,PG-13,109 MINS,"HORROR, SUSPENSE",2017,"Elliot Page, Diego Luna, Nina Dobrev",Five medical students trigger near-death experiences to gain insight into the mystery of what lies beyond the confines of life.,https://www.starz.com/us/en/movies/flatliners-38255
255,Identicals,R,100 MINS,"SCI-FI, DRAMA",2016,"Tim Faraday, Nora-Jane Noone, Tony Way",None Of Us Are As Unique As We Think. Identicals is a highly unconventional romantic thriller: an obsessive love story stripped down and re-arranged into the looping logic of a nightmare.,https://www.starz.com/us/en/movies/identicals-68475
256,Outlander,R,115 MINS,"ACTION, ADVENTURE",2009,"James Caviezel, Sophia Myles, Jack Huston",A time traveler arrives in ancient Norway only to bring horror and death with him in the form of an alien monster intent on killing everyone in its path.,https://www.starz.com/us/en/movies/outlander-70826
257,Scandalize My Name,TV-PG,54 MINS,"DOCUMENTARY, TRUE STORY",1999,"Morgan Freeman, Harry Belafonte, Ossie Davis","This potent documentary, narrated by Morgan Freeman, examines several prominent African-American performers in the American film and television industries during the 1950s Communist witch-hunting McCarthy era.",https://www.starz.com/us/en/movies/scandalize-my-name-1516
258,Ruth - Justice Ginsburg In Her Own Words,TV-PG,88 MINS,DOCUMENTARY,2019,"Ruth Bader Ginsburg, Barack Obama, Joe Biden","How does someone with three strikes against her, rise to the highest court in the land, the U. S. Supreme Court?",https://www.starz.com/us/en/movies/ruth-justice-ginsburg-in-her-own-words-62578
259,Starz Inside: Bloodsucking Cinema,TV-MA,56 MINS,"HORROR, DOCUMENTARY",2007,"John Carpenter, Leonard Maltin, Cheech Marin","The hypnotic attraction that only a stake or sunlight can defeat! The history of vampire films is explored via interviews and clips from Interview With A Vampire, The Lost Boys, Dracula, etc. A Starz Originals production.",https://www.starz.com/us/en/movies/starz-inside-bloodsucking-cinema-1664
260,When We Speak,TV-MA,77 MINS,DOCUMENTARY,2022,"Rose McGowan, Katharine Gun, Helen Evans","British intelligence employee Katharine Gun, Oxfam aid worker Helen Evans and Hollywood actress Rose McGowan open the lid on what happens to women whistleblowers in When We Speak.",https://www.starz.com/us/en/movies/when-we-speak-67277
261,Cutting Edge: The Magic of Movie Editing,TV-PG,97 MINS,DOCUMENTARY,2004,"Kathy Bates, James Cameron, George Lucas","Top-flight Hollywood film editors reveal the secrets of the trade and how editing can make or break a movie. Film clips, interviews, and a unique hands-on session highlight the magic in this Starz Original production.",https://www.starz.com/us/en/movies/cutting-edge-the-magic-of-movie-editing-413
262,Midnight Movies,TV-14,86 MINS,"DOCUMENTARY, CULT",2005,"John Waters, David Lynch, George A. Romero","The history of 6 landmark cult films - ""The Rocky Horror Picture Show"", ""Eraserhead"", ""Pink Flamingos"", ""Night Of The Living Dead"" and more - is told through clips and director interviews. A Starz Originals Production.",https://www.starz.com/us/en/movies/midnight-movies-5659
263,Barbara Lee: Speaking Truth to Power,TV-14,83 MINS,DOCUMENTARY,2020,"Barbara Lee, Cory Booker, John Lewis","Paints a vivid and timely portrait of Congresswoman Barbara Lee, a steadfast voice for human rights, peace, and diplomacy in the U.S. Government.",https://www.starz.com/us/en/movies/barbara-lee-speaking-truth-to-power-64804
264,Lonesome Dove Church,TV-14,90 MINS,"WESTERN, DRAMA",2014,"Tom Berenger, Greyston Holt, Alex Zahara","A Texas preacher who dreams of building his own church puts his life on the line to save his son, an accused outlaw.",https://www.starz.com/us/en/movies/lonesome-dove-church-28984
265,Sierra,TV-G,82 MINS,WESTERN,1950,"Wanda Hendrix, Audie Murphy, Dean Jagger",A tomboy frontier lawyer finds an outlaw and his son hiding out from a false charge of murder.,https://www.starz.com/us/en/movies/sierra-48136
266,The Warrior's Way,R,100 MINS,"ACTION, MARTIAL ARTS",2010,"Kate Bosworth, Geoffrey Rush, Danny Huston","A fugitive assassin travels from the Far East to the Wild West, where he hides in a small town in the American badlands. While there, he teams up with a seasoned fighter and a circus-knife-thrower to settle old scores.",https://www.starz.com/us/en/movies/the-warriors-way-28587
267,The Shakiest Gun in the West,TV-PG,100 MINS,"WESTERN, COMEDY",1968,"Don Knotts, Barbara Rhoades, Jackie Coogan","Dentist leaves sedate, early 19th century Pennsylvania to set up practice on the western frontier. En route he gets involved with a lady bandit, turned federal agent, who's on a dangerous mission.",https://www.starz.com/us/en/movies/the-shakiest-gun-in-the-west-36215
268,Rooster Cogburn,PG,107 MINS,"WESTERN, COMEDY",1975,"John Wayne, Katharine Hepburn, Anthony Zerbe","The one-eyed, tough-as-nails lawman with ""true grit"" teams with a Bible-thumping spinster schoolmarm to bring the killers of her father to justice - and recover a load of explosive nitro in this action-comedy-western.",https://www.starz.com/us/en/movies/rooster-cogburn-37323
269,Santa Fe,TV-PG,87 MINS,WESTERN,1951,"Randolph Scott, Janis Carter, Jerome Courtland","After the Civil War, two brothers, once the best of friends, try to reconcile their differences that led them to fight on opposite sides in this stirring, emotional Western.",https://www.starz.com/us/en/movies/santa-fe-46325
270,The Great Northfield Minnesota Raid,PG,91 MINS,"WESTERN, TRUE STORY",1972,"Cliff Robertson, Robert Duvall, Luke Askew","The gangs of Jesse James and Cole Younger join forces for a bungled robbery of the bank in Northfield, Minnesota.",https://www.starz.com/us/en/movies/the-great-northfield-minnesota-raid-9547
271,Lonely Are The Brave,TV-PG,107 MINS,"WESTERN, LITERARY/BOOK BASED",1962,"Kirk Douglas, Gena Rowlands, Walter Matthau","A free-spirit cowboy escapes from jail and heads out on horseback for the mountains - but this is a new age, and the law uses modern technology in their manhunt.",https://www.starz.com/us/en/movies/lonely-are-the-brave-10798
272,Out of Liberty,PG,112 MINS,"DRAMA, WESTERN",2019,"Jasen Wade, Brandon Ray Olive, Casey Elliott","In the winter of 1839, a jailer is tasked with overseeing Missouri's most wanted men as they await trial.",https://www.starz.com/us/en/movies/out-of-liberty-68426
273,Ten Wanted Men,TV-PG,79 MINS,WESTERN,1955,"Randolph Scott, Richard Boone, Jocelyn Brando",Rival cattle ranchers become mortal enemies when a young woman seeks refuge with one man because she doesn't love the other - the spurned rancher hires ten gunslingers and proceeds to wreak havoc.,https://www.starz.com/us/en/movies/ten-wanted-men-46403
274,The Stranger Wore a Gun,TV-PG,82 MINS,WESTERN,1953,"Randolph Scott, Claire Trevor, Joan Weldon",A man whose life is saved by a bandit reluctantly joins in a conspiracy to loot the stage lines - and things get hairy when he decides to go straight.,https://www.starz.com/us/en/movies/the-stranger-wore-a-gun-46333
275,Winchester '73,TV-G,92 MINS,WESTERN,1950,"James Stewart, Shelley Winters, Dan Duryea","Lin McAdam wins a sharp-shooting contest and claims a Winchester rifle as a prize. When Dutch sneaks into McAdam's room and steals the weapon, McAdam chases Dutch across the state and toward an epic confrontation.",https://www.starz.com/us/en/movies/winchester-73-9553
276,Butch And Sundance: The Early Days,PG,111 MINS,"WESTERN, COMEDY",1979,"William Katt, Tom Berenger, Jill Eikenberry","""Prequel"" to the classic Newman-Redford western recounts the legend of the outlaw pair's meeting. Directed by Richard Lester (""Superman II"", ""A Hard Day's Night"").",https://www.starz.com/us/en/movies/butch-and-sundance-the-early-days-36076
277,Dead Birds,R,91 MINS,"HORROR, WESTERN",2004,"Henry Thomas, Patrick Fugit, Mark Boone Junior","After robbing a bank, a group of Confederate soldiers hole up in an abandoned plantation and soon find themselves at the mercy of supernatural forces.",https://www.starz.com/us/en/movies/dead-birds-65013
278,Gunfight in Abilene,TV-PG,85 MINS,WESTERN,1967,"Bobby Darin, Emily Banks, Leslie Nielsen","A sheriff, haunted by the accidental killing of his best friend, refuses to wear a gun. But when the brother of his best friend is murdered, the lawman must make a choice.",https://www.starz.com/us/en/movies/gunfight-in-abilene-29736
279,The Duel,R,110 MINS,"DRAMA, CRIME",2016,"Liam Hemsworth, Alice Braga, Emory Cohen",A Texas Ranger investigates a series of murders in an Old West town that's run by a former Confederate officer.,https://www.starz.com/us/en/movies/the-duel-70802
280,Drums Across The River,TV-14,78 MINS,WESTERN,1954,"Audie Murphy, Walter Brennan, Lyle Bettger","When white men hunger after the gold on Ute Native American land, a bigoted young man finds himself forced into a peacekeeping role.",https://www.starz.com/us/en/movies/drums-across-the-river-26241
281,Ned Kelly,R,109 MINS,"ACTION, HISTORICAL",2004,"Orlando Bloom, Heath Ledger, Naomi Watts",A clever outlaw leads his gang on a crime spree throughout 19th c. Australia to avenge the wrongful imprisonment of his mother and closest friends.,https://www.starz.com/us/en/movies/ned-kelly-26551
282,Cowgirls n' Angels,PG,91 MINS,"DRAMA, FAMILY",2012,"Bailee Madison, James Cromwell, Alicia Witt",A spunky twelve-year-old girl sets her sights on joining a team of female rodeo trick-riders - but first she must convince her mom that she's doing the right thing.,https://www.starz.com/us/en/movies/cowgirls-n-angels-41685
283,The Doolins Of Oklahoma,TV-PG,90 MINS,WESTERN,1949,"Randolph Scott, George Macready, Louise Allbritton","When his former gang forces him to resume leadership, Bill Doolin, trying to go straight, walks into lawmen's guns rather than risk bringing further unhappiness to his wife.",https://www.starz.com/us/en/movies/the-doolins-of-oklahoma-46218
284,The Tall T,TV-14,77 MINS,WESTERN,1957,"Randolph Scott, Richard Boone, Maureen O'Sullivan","An unlucky cowboy finds himself on a stage hijacked by an outlaw and his men, and things get worse when the crooks hold one of the passengers - a mine owner's daughter - for ransom.",https://www.starz.com/us/en/movies/the-tall-t-46390
285,The Last Sunset,TV-PG,112 MINS,WESTERN,1961,"Rock Hudson, Kirk Douglas, Dorothy Malone","Two enemies - a short-tempered outlaw and a haunted sheriff - find themselves working together on a cattle drive, with both trying to outwit the other in this intense story.",https://www.starz.com/us/en/movies/the-last-sunset-36527
286,Gold,TV-MA,98 MINS,"DRAMA, ADVENTURE",2013,"Nina Hoss, Marko Mandic, Peter Kurth","When British Columbia erupts in gold, a group of Germans travel to North America to claim a piece of the prize.",https://www.starz.com/us/en/movies/gold-68879
287,The Battle at Apache Pass,TV-14,85 MINS,WESTERN,1952,"John Lund, Jeff Chandler, Susan Cabot","When Cochise bands together with Geronimo and other Native American tribes, Major Colton abandons his fort, heading towards Fort Sheridan, through Apache Pass.",https://www.starz.com/us/en/movies/the-battle-at-apache-pass-31173
