,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
48,Maleficent,PG,97 MINS,"DRAMA, FAMILY",2014,"Angelina Jolie, Elle Fanning, Juno Temple","Maleficent rises to protect her peaceful forest kingdom from invaders, but a terrible betrayal turns her pure heart to stone and twists her into a creature bent on revenge.",https://www.starz.com/us/en/movies/maleficent-23191
49,When the Bough Breaks,PG-13,107 MINS,"DRAMA, SUSPENSE",2016,"Morris Chestnut, Theo Rossi, Regina Hall","Hired by a professional couple to be a surrogate mother, a psychotic young woman starts to develop a dangerous fixation with the husband.",https://www.starz.com/us/en/movies/when-the-bough-breaks-31545
50,Public Enemies,R,139 MINS,"CRIME, DRAMA",2009,"Johnny Depp, Christian Bale, Billy Crudup","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",https://www.starz.com/us/en/movies/public-enemies-51409
51,Funny People,R,145 MINS,"COMEDY, DRAMA",2009,"Adam Sandler, Seth Rogen, Jonah Hill","When seasoned comedian George Simmons learns of his terminal health condition, his desire to form a genuine friendship leads him to mentor a budding performer for his opening act.",https://www.starz.com/us/en/movies/funny-people-50264
52,Empire,R,99 MINS,"CRIME, DRAMA",2002,"John Leguizamo, Peter Sarsgaard, Denise Richards",A ruthless Bronx drug dealer has visions of an upscale lifestyle when he invests his money with a shady Wall Street banker - but is he being duped?,https://www.starz.com/us/en/movies/empire-45247
53,Roll Bounce,PG-13,111 MINS,"COMEDY, DRAMA",2005,"Bow Wow, Nick Cannon, Chi McBride","1970s roller-skate jams fuel this coming-of-age comedy as a group of young friends head over to the Sweetwater Roller Rink, where they find their modest talents are no competition for the trick skaters who rule the rink.",https://www.starz.com/us/en/movies/roll-bounce-26064
54,The Devil Has a Name,R,97 MINS,"DRAMA, SUSPENSE",2020,"Kate Bosworth, David Strathairn, Edward James Olmos",A psychotic oil matriarch leaves the whole industry exposed when she attempts to outfight a bullish farmer whose water has been poisoned.,https://www.starz.com/us/en/movies/the-devil-has-a-name-61370
55,Retribution,R,91 MINS,"ACTION, SUSPENSE",2023,"Liam Neeson, Noma Dumezweni, Matthew Modine","While driving with his kids, a man receives a call from an assailant who claims there is a bomb in the car. Unable to exit the vehicle, he must now follow a series of instructions while trying to figure out how to survive.",https://www.starz.com/us/en/movies/retribution-71360
56,The Kill Room,R,97 MINS,"COMEDY, SUSPENSE",2023,"Uma Thurman, Joe Manganiello, Samuel L. Jackson",A hit man teams up with an art dealer for a money-laundering scheme that unwittingly turns him into an avant-garde sensation.,https://www.starz.com/us/en/movies/the-kill-room-71632
57,Navy Seals Vs. Zombies,TV-MA,96 MINS,"ACTION, HORROR",2015,"Ed Quinn, Michael Dudikoff, Rick Fox",A team of Navy SEALS quickly discovers it is facing a growing horde of zombies when it is sent into a city in Louisiana to find the vice president after contact is lost.,https://www.starz.com/us/en/movies/navy-seals-vs-zombies-70852
