,Series,Season,Episodes,Synopsis,Link
69,Tales of Wells Fargo,Season 6,34 Episodes,Special agent Jim Hardie protects Wells Fargo agents from the perils of the road,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-6/30891
70,Wagon Train,Season 1,39 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-1/14252
71,Wagon Train,Season 2,38 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-2/14253
72,Wagon Train,Season 3,37 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-3/14404
73,Wagon Train,Season 4,38 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-4/14254
74,Wagon Train,Season 5,35 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-5/26438
75,Wagon Train,Season 6,36 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-6/27186
76,Wagon Train,Season 7,31 Episodes,Adams offers a hard-drinking former Civil War commander a job on the wagon train--if he can manage to give up booze. Featuring Ernest Borgnine.,https://www.starz.com/us/en/series/wagon-train/season-7/27527
77,Wagon Train,Season 8,26 Episodes,Adventures of a wagon train traveling from Missouri to California.,https://www.starz.com/us/en/series/wagon-train/season-8/29366
78,Laramie,Season 1,31 Episodes,,https://www.starz.com/us/en/series/laramie/season-1/23873
79,Laramie,Season 2,33 Episodes,,https://www.starz.com/us/en/series/laramie/season-2/23955
80,Laramie,Season 3,28 Episodes,,https://www.starz.com/us/en/series/laramie/season-3/24108
81,Laramie,Season 4,32 Episodes,"After losing their father in a gunfight, the Sherman brothers must hang on to their ranch in 1870s Wyoming Territory.",https://www.starz.com/us/en/series/laramie/season-4/24373
82,The Rifleman,Season 1,40 Episodes,"The adventures of a Wild West rancher, wielding a customized rapid-fire Winchester rifle, and his son.",https://www.starz.com/us/en/series/the-rifleman/season-1/61347
83,The Rifleman,Season 2,36 Episodes,,https://www.starz.com/us/en/series/the-rifleman/season-2/61339
84,The Rifleman,Season 3,34 Episodes,,https://www.starz.com/us/en/series/the-rifleman/season-3/61341
85,The Rifleman,Season 4,32 Episodes,,https://www.starz.com/us/en/series/the-rifleman/season-4/61343
86,The Rifleman,Season 5,26 Episodes,,https://www.starz.com/us/en/series/the-rifleman/season-5/61345
87,Pit Pony,Season 1,26 Episodes,The story of a struggling family in a small coastal mining town.,https://www.starz.com/us/en/series/pit-pony/season-1/23634
88,Pit Pony,Season 2,18 Episodes,"Based on the beloved children's novel, 'Pit Pony' tells the story of a small town in 1904 Nova Scotia and 12-year-old Willie MacLean, who takes a job",https://www.starz.com/us/en/series/pit-pony/season-2/23642
